   0	2.00000000	2.00000000	46.50789064	0.71681744
   1	2.00908296	1.98400355	46.50906857	0.68417051	1.00000000
   2	2.00908296	1.98400355	46.67983623	0.67262131	0.27783165
   3	1.99588514	2.00432693	45.30970415	0.76113033	0.19532028
   4	1.99588514	2.00432693	46.46952210	0.78059097	0.16132665
   5	1.99588514	2.00432693	47.44251579	0.78310069	0.14213849
   6	1.99588514	2.00432693	46.24607771	0.74986046	0.12954881
   7	1.98674199	2.00166350	44.95242015	0.66541995	0.12052312
   8	1.98674199	2.00166350	45.97512663	0.76232637	0.11366341
   9	1.98674199	2.00166350	46.53131464	0.72074489	0.10822989
  10	1.98674199	2.00166350	45.16516533	0.75072976	0.10379157
  11	1.98674199	2.00166350	46.31762045	0.78353356	0.10007899
  12	1.96524814	1.98930012	44.35708629	0.76931263	0.09691425
  13	1.98447272	1.98161562	43.41459325	0.75062433	0.09417473
  14	1.99496615	1.95730676	43.27963149	0.67313581	0.09177288
  15	1.99496615	1.95730676	44.57779878	0.67551700	0.08964439
  16	1.99496615	1.95730676	45.39904595	0.71625813	0.08774079
  17	1.99496615	1.95730676	44.84796879	0.71205447	0.08602484
  18	1.99496615	1.95730676	44.21053029	0.74660317	0.08446735
  19	1.99496615	1.95730676	43.37391453	0.63969953	0.08304512
  20	1.99496615	1.95730676	44.57899025	0.65227357	0.08173944
  21	1.99496615	1.95730676	46.50447698	0.68187183	0.08053502
  22	1.99496615	1.95730676	45.89154774	0.73751634	0.07941923
  23	1.99496615	1.95730676	45.54365708	0.71478457	0.07838156
  24	1.99884260	1.93697481	42.48818129	0.71087416	0.07741315
  25	1.99884260	1.93697481	45.39260555	0.77088988	0.07650650
  26	1.99884260	1.93697481	44.93025326	0.70513355	0.07565520
  27	1.99884260	1.93697481	44.36111436	0.56291128	0.07485373
  28	1.99884260	1.93697481	44.60431468	0.73913361	0.07409731
  29	1.99884260	1.93697481	43.33279680	0.67012292	0.07338179
  30	1.98320478	1.92353852	40.85934773	0.61711135	0.07270353
  31	1.98320478	1.92353852	42.66349933	0.75771626	0.07205934
  32	1.98320478	1.92353852	43.46286948	0.80639996	0.07144638
