  1	4.8833	0.0000
  2	4.9637	0.0568
  3	5.0298	0.0659
  4	4.9957	0.0576
  5	5.0355	0.0582
  6	5.0093	0.0541
  7	4.9994	0.0473
  8	4.9873	0.0429
  9	4.9764	0.0395
 10	4.9648	0.0372
 11	4.9715	0.0344
 12	4.9551	0.0353
 13	4.9536	0.0326
 14	4.9564	0.0304
 15	4.9638	0.0293
 16	4.9655	0.0275
 17	4.9574	0.0270
 18	4.9612	0.0258
 19	4.9686	0.0255
 20	4.9748	0.0249
 21	4.9779	0.0240
 22	4.9746	0.0231
 23	4.9729	0.0222
 24	4.9763	0.0215
 25	4.9789	0.0208
 26	4.9815	0.0202
 27	4.9817	0.0194
 28	4.9819	0.0187
 29	4.9817	0.0181
 30	4.9836	0.0176
 31	4.9770	0.0182
 32	4.9763	0.0176
 33	4.9804	0.0176
 34	4.9766	0.0175
 35	4.9764	0.0170
 36	4.9769	0.0165
 37	4.9778	0.0161
 38	4.9795	0.0157
 39	4.9830	0.0157
 40	4.9820	0.0154
 41	4.9832	0.0150
 42	4.9851	0.0148
 43	4.9850	0.0144
 44	4.9860	0.0142
 45	4.9885	0.0141
 46	4.9874	0.0138
 47	4.9845	0.0138
 48	4.9834	0.0136
 49	4.9831	0.0133
 50	4.9819	0.0131
 51	4.9819	0.0128
 52	4.9796	0.0128
 53	4.9783	0.0126
 54	4.9805	0.0126
 55	4.9818	0.0124
 56	4.9821	0.0122
 57	4.9862	0.0126
 58	4.9858	0.0124
 59	4.9859	0.0122
 60	4.9850	0.0121
 61	4.9849	0.0119
 62	4.9885	0.0122
 63	4.9865	0.0122
 64	4.9885	0.0122
 65	4.9869	0.0121
 66	4.9865	0.0119
 67	4.9872	0.0117
 68	4.9864	0.0116
 69	4.9868	0.0114
 70	4.9885	0.0114
 71	4.9887	0.0112
 72	4.9883	0.0111
 73	4.9911	0.0113
 74	4.9914	0.0111
 75	4.9904	0.0110
 76	4.9897	0.0109
 77	4.9893	0.0108
 78	4.9914	0.0108
 79	4.9927	0.0108
 80	4.9919	0.0107
 81	4.9938	0.0107
 82	4.9948	0.0106
 83	4.9961	0.0106
 84	4.9970	0.0105
 85	4.9971	0.0104
 86	4.9992	0.0104
 87	5.0001	0.0104
 88	5.0005	0.0103
 89	5.0008	0.0102
 90	5.0014	0.0101
 91	5.0015	0.0099
 92	5.0023	0.0099
 93	5.0038	0.0099
 94	5.0028	0.0098
 95	5.0021	0.0097
 96	5.0008	0.0097
 97	5.0003	0.0096
 98	4.9996	0.0096
 99	5.0000	0.0095
100	4.9997	0.0094
