                 1           1.53578           1.53578                 0
                 2           1.57853           1.55715         0.0151119
                 3           1.60329           1.57253         0.0160989
                 4           1.55824           1.56896         0.0124644
                 5            1.4256           1.54029          0.027515
                 6           1.54327           1.54079         0.0229336
                 7           1.63144           1.55374         0.0230256
                 8           1.54191           1.55226         0.0201948
                 9           1.56515           1.55369         0.0180017
                10           1.45728           1.54405         0.0186052
                11           1.51064           1.54101         0.0171599
                12           1.64526            1.5497         0.0177935
                13           1.66608           1.55865         0.0185406
                14           1.65073           1.56523         0.0183457
                15           1.44314           1.55709         0.0188419
                16           1.53381           1.55563         0.0177204
                17           1.55881           1.55582          0.016679
                18           1.28991           1.54105         0.0213132
                19           1.72936           1.55096         0.0223777
                20           1.58629           1.55273         0.0213285
